alpha,beta,z ratio,smooth ratio
242673.71613128067,53266.230479557584,-1.2947714519838278,0.17487542258436703
242264.9658084291,53255.75455286861,-1.2961379184914685,0.1749844323636436
242052.6843016483,53328.05941332804,-1.2981835817798233,0.1750313995827837
242052.6843016483,53328.05941332804,-1.2981835817798233,0.17507367008000974
241681.4975678006,53281.358776463894,-1.2987859197069282,0.17509665507933558
241226.74339174948,53310.25259009254,-1.3010009512799343,0.17506196578940367
241226.74339174948,53310.25259009254,-1.3010009512799343,0.17503074542846495
240298.08741531742,53226.0683968198,-1.3030752392162794,0.17495078990521146
239679.354344475,53229.01745143088,-1.3054687265405716,0.17481899275117604
238811.8299769493,53133.27234485573,-1.307124313867948,0.17465898562935975
237832.1778514572,53119.1989474155,-1.3106017792365146,0.1744280425855109
236763.36580121942,53021.50264466307,-1.31300214934938,0.17416018459322533
236763.36580121942,53021.50264466307,-1.31300214934938,0.1739191124001683
235308.8166969599,53024.983491748964,-1.3185906369349045,0.17356243523677886
234501.12124252695,53015.91753155331,-1.321508612056811,0.1731684764116807
234501.12124252695,53015.91753155331,-1.321508612056811,0.17281391346909236
233297.16081184297,53130.934104692766,-1.3280063928284465,0.17233236230147198
231875.01001453894,53297.878498860184,-1.3361573395481758,0.1716951925826204
230442.89757695145,53622.301197242465,-1.3468464703482417,0.17085451156565232
230442.89757695145,53622.301197242465,-1.3468464703482417,0.17009789865038105
229757.00349865918,53921.62928827493,-1.354219260210293,0.16923262728008565
